epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,498.361,0.79736,1.51494,0.8409,1.16277,0.83999,0.12023,0.12711,0.10496,0.83999,0.12023,0.12639,0.09797,1.02661,2.60837,1.08473,1.1716,0.00156131,0.00156131,0.00156131
41,510.802,0.76217,1.44059,0.82285,1.13728,0.81056,0.12306,0.1263,0.10455,0.81987,0.12447,0.12653,0.10112,0.97106,2.33572,1.05097,1.14169,0.00154047,0.00154047,0.00154047
42,523.141,0.76454,1.42462,0.84507,1.13247,0.73381,0.12164,0.13055,0.10558,0.73633,0.12306,0.12859,0.10038,0.9928,2.4266,1.07419,1.14038,0.0015193,0.0015193,0.0015193
43,535.661,0.75906,1.4174,0.80194,1.15904,0.78353,0.1273,0.13286,0.10952,0.76612,0.12447,0.13068,0.10207,0.91769,2.44003,0.99658,1.10765,0.0014978,0.0014978,0.0014978
44,547.999,0.74688,1.34691,0.79029,1.13837,0.69922,0.1273,0.13083,0.10483,0.70699,0.12871,0.13252,0.10087,0.96611,2.31473,1.04332,1.16121,0.001476,0.001476,0.001476
45,560.517,0.71441,1.41548,0.78543,1.11811,0.78024,0.12306,0.13174,0.10541,0.80333,0.12306,0.13108,0.10049,0.99711,2.41678,1.03742,1.16395,0.0014539,0.0014539,0.0014539
46,573.005,0.80422,1.61474,0.898,1.16986,0.71354,0.12306,0.13073,0.10712,0.73306,0.1243,0.13044,0.10407,1.10622,2.40221,1.13143,1.24595,0.00143152,0.00143152,0.00143152
47,585.68,0.74921,1.4392,0.83834,1.1259,0.79748,0.12588,0.13452,0.1086,0.80435,0.1273,0.13602,0.10152,1.02578,2.44964,1.07273,1.18584,0.00140888,0.00140888,0.00140888
48,598.315,0.7165,1.36644,0.79813,1.12068,0.79104,0.1273,0.13772,0.11788,0.78225,0.12588,0.13538,0.11224,0.85198,2.37762,0.90245,1.02558,0.00138598,0.00138598,0.00138598
49,610.757,0.74738,1.38821,0.81959,1.14382,0.78273,0.12588,0.13447,0.10823,0.85295,0.12588,0.13494,0.1098,0.99943,2.30673,0.99985,1.1855,0.00136285,0.00136285,0.00136285
50,623.213,0.78621,1.42131,0.79244,1.14652,0.8504,0.12306,0.12937,0.10789,0.8504,0.12306,0.13216,0.10134,1.00483,2.29559,1.00845,1.15563,0.00133949,0.00133949,0.00133949
51,635.553,0.7386,1.32142,0.76035,1.13431,0.78139,0.12447,0.13373,0.11027,0.77251,0.12306,0.13269,0.10832,0.96959,2.36708,0.97386,1.13183,0.00131593,0.00131593,0.00131593
52,647.861,0.78521,1.49789,0.84218,1.16006,0.72239,0.12447,0.1307,0.10577,0.75674,0.12306,0.13109,0.10436,0.97737,2.32785,1.08088,1.1885,0.00129217,0.00129217,0.00129217
53,660.326,0.74688,1.50572,0.80681,1.121,0.77782,0.12588,0.12624,0.10525,0.76908,0.12447,0.12773,0.10343,0.97896,2.27616,1.14821,1.14517,0.00126823,0.00126823,0.00126823
54,672.937,0.74893,1.48357,0.78889,1.118,0.76183,0.12447,0.12768,0.10603,0.74691,0.12588,0.12792,0.10385,0.92894,2.29153,1.12109,1.09466,0.00124413,0.00124413,0.00124413
55,685.1,0.72742,1.34688,0.7843,1.11149,0.72445,0.12306,0.13042,0.10546,0.72445,0.12306,0.12939,0.10352,1.03212,2.36113,1.08172,1.18821,0.00121989,0.00121989,0.00121989
56,697.788,0.75596,1.58364,0.82523,1.12194,0.81995,0.12306,0.12928,0.11173,0.81053,0.12164,0.12868,0.10821,0.93524,2.32528,1.08211,1.13218,0.00119551,0.00119551,0.00119551
57,710.159,0.70455,1.3407,0.75908,1.09,0.78613,0.12447,0.13147,0.10757,0.78528,0.12447,0.12891,0.10071,1.00895,2.38921,1.1362,1.18973,0.00117101,0.00117101,0.00117101
58,722.738,0.71986,1.39509,0.79549,1.10653,0.76642,0.12023,0.13078,0.10793,0.77544,0.12164,0.13059,0.10537,0.96985,2.37502,1.09785,1.09615,0.00114641,0.00114641,0.00114641
59,735.468,0.71537,1.35816,0.75884,1.12304,0.66919,0.12588,0.13351,0.11186,0.68423,0.12871,0.13382,0.10895,0.87406,2.30151,1.00935,1.05623,0.00112173,0.00112173,0.00112173
