epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,944.9,0.66848,1.4469,0.71345,1.05627,0.71325,0.17273,0.18034,0.14126,0.8084,0.16364,0.17245,0.13761,0.93649,2.49976,0.99386,1.16327,0.00087536,0.00087536,0.00087536
73,957.867,0.64658,1.33967,0.66497,1.05368,0.74308,0.16909,0.17552,0.14009,0.7266,0.16545,0.16865,0.13825,0.94195,2.58353,0.98965,1.13931,0.00085952,0.00085952,0.00085952
74,970.819,0.65358,1.34644,0.66643,1.07083,0.72403,0.17455,0.17951,0.14496,0.71648,0.17273,0.17401,0.13959,0.89075,2.66141,0.93755,1.17552,0.00084368,0.00084368,0.00084368
75,983.887,0.65776,1.35503,0.677,1.05256,0.72784,0.17091,0.17893,0.14805,0.70461,0.16545,0.16932,0.14266,0.88393,2.4655,0.95861,1.11705,0.00082784,0.00082784,0.00082784
76,996.938,0.65148,1.30838,0.66736,1.06987,0.81109,0.16364,0.175,0.14485,0.80208,0.16182,0.1699,0.1394,0.88868,2.52281,0.96839,1.07229,0.000812,0.000812,0.000812
77,1010.03,0.65652,1.2725,0.6581,1.06267,0.78394,0.16,0.16951,0.13578,0.76613,0.15636,0.16466,0.13393,0.93787,2.43833,1.04945,1.14521,0.00079616,0.00079616,0.00079616
78,1023,0.64027,1.27113,0.68103,1.06114,0.81957,0.16909,0.17815,0.14744,0.74538,0.17033,0.17452,0.14486,0.87371,2.40644,0.99856,1.0589,0.00078032,0.00078032,0.00078032
79,1036.46,0.65531,1.30522,0.66389,1.06968,0.84085,0.16545,0.17419,0.14046,0.81652,0.16364,0.17263,0.13899,0.94198,2.44987,0.96691,1.14924,0.00076448,0.00076448,0.00076448
80,1049.67,0.66283,1.28162,0.65446,1.07806,0.80352,0.16909,0.1742,0.14215,0.78725,0.16545,0.16797,0.1401,0.90139,2.41634,0.99094,1.12182,0.00074864,0.00074864,0.00074864
81,1062.68,0.62985,1.39039,0.63802,1.05163,0.72633,0.17372,0.17918,0.14997,0.71183,0.16727,0.1743,0.14822,0.8364,2.40084,0.89543,1.05469,0.0007328,0.0007328,0.0007328
82,1075.87,0.64946,1.31648,0.66698,1.04908,0.78816,0.17273,0.18013,0.15216,0.81629,0.16727,0.17639,0.1485,0.81876,2.5081,0.84031,1.03973,0.00071696,0.00071696,0.00071696
83,1088.94,0.66038,1.27506,0.64542,1.06329,0.77607,0.17818,0.17802,0.14506,0.75028,0.17455,0.17476,0.1443,0.86353,2.45999,0.95667,1.08518,0.00070112,0.00070112,0.00070112
84,1101.85,0.63752,1.22524,0.64557,1.04511,0.76746,0.17402,0.17853,0.14742,0.73318,0.17273,0.1764,0.1463,0.88411,2.43814,0.99378,1.13469,0.00068528,0.00068528,0.00068528
85,1115.02,0.64357,1.27862,0.66808,1.05579,0.73737,0.17357,0.1786,0.14426,0.72192,0.16993,0.17218,0.14387,0.8884,2.3292,0.98381,1.11848,0.00066944,0.00066944,0.00066944
86,1127.89,0.64931,1.30568,0.66722,1.0441,0.67337,0.17091,0.17275,0.14039,0.6662,0.16909,0.16952,0.14525,0.84893,2.33721,1.02374,1.09553,0.0006536,0.0006536,0.0006536
87,1141.08,0.62993,1.24889,0.61669,1.05007,0.8346,0.17432,0.17917,0.14795,0.82505,0.16727,0.17376,0.15036,0.86719,2.32234,0.93478,1.10343,0.00063776,0.00063776,0.00063776
88,1154.02,0.63337,1.242,0.64255,1.05313,0.73196,0.17636,0.18286,0.14826,0.70889,0.17091,0.17457,0.15087,0.8345,2.41917,0.91743,1.07508,0.00062192,0.00062192,0.00062192
89,1166.88,0.61095,1.24235,0.62191,1.04144,0.80465,0.17091,0.17744,0.14274,0.78657,0.16727,0.17348,0.14285,0.88631,2.41494,1.04045,1.1348,0.00060608,0.00060608,0.00060608
90,1180.32,0.63364,1.2366,0.61457,1.04867,0.70736,0.17091,0.17537,0.13247,0.84049,0.16182,0.17252,0.13576,0.9632,2.45141,1.12405,1.2208,0.00059024,0.00059024,0.00059024
91,1193.26,0.61336,1.32998,0.63499,1.01668,0.77992,0.17636,0.18244,0.1433,0.77107,0.17455,0.1777,0.14044,0.93081,2.60769,1.03894,1.18296,0.0005744,0.0005744,0.0005744
92,1206.37,0.62379,1.20733,0.60992,1.04416,0.90691,0.16727,0.18262,0.14881,0.8175,0.16182,0.17575,0.1444,0.84155,2.51751,0.93888,1.09741,0.00055856,0.00055856,0.00055856
93,1219.25,0.64131,1.26473,0.63923,1.04194,0.82305,0.16909,0.17832,0.14697,0.79405,0.16545,0.17208,0.14486,0.83744,2.44806,0.96229,1.09814,0.00054272,0.00054272,0.00054272
94,1232.34,0.63382,1.37309,0.63235,1.02904,0.82557,0.16545,0.17555,0.14614,0.82855,0.16545,0.17064,0.14541,0.8277,2.46172,0.98431,1.09746,0.00052688,0.00052688,0.00052688
95,1245.24,0.60696,1.22253,0.6259,1.03345,0.76769,0.16909,0.17774,0.14695,0.75943,0.16727,0.17231,0.14518,0.82224,2.51618,0.9613,1.07697,0.00051104,0.00051104,0.00051104
96,1258.26,0.63143,1.31749,0.60551,1.04233,0.75559,0.16909,0.17241,0.14485,0.74746,0.16727,0.16802,0.14389,0.82217,2.4482,1.07599,1.07498,0.0004952,0.0004952,0.0004952
97,1271.41,0.61979,1.30806,0.64415,1.0508,0.80408,0.17273,0.17615,0.14444,0.79513,0.17091,0.1731,0.14282,0.84635,2.30659,1.02196,1.06684,0.00047936,0.00047936,0.00047936
98,1284.47,0.64156,1.30639,0.61616,1.04835,0.8118,0.17091,0.17719,0.14206,0.85429,0.16364,0.17023,0.14297,0.92541,2.1889,1.00789,1.15222,0.00046352,0.00046352,0.00046352
99,1297.51,0.61455,1.23224,0.61791,1.03428,0.74956,0.17091,0.1747,0.1362,0.74956,0.17091,0.17029,0.13951,0.88955,2.24876,1.03449,1.14819,0.00044768,0.00044768,0.00044768
100,1310.69,0.60393,1.22557,0.62823,1.02723,0.7089,0.16727,0.17434,0.14019,0.70543,0.16545,0.16804,0.14226,0.90601,2.34704,1.03458,1.16912,0.00043184,0.00043184,0.00043184
101,1323.54,0.61477,1.18504,0.59801,1.03978,0.85107,0.16364,0.17228,0.14189,0.83179,0.16,0.16734,0.1416,0.90104,2.4125,1.04572,1.16934,0.000416,0.000416,0.000416
